E,Ne,dNe
1500,1.14,0.79
1600,1.06,0.79
1700,0.965,0.79
1800,0.886,0.79
1900,0.816,0.79
2000,0.746,0.79
2100,0.688,0.79
2200,0.627,0.79
2300,0.573,0.79
2400,0.525,0.79
2500,0.485,0.79
2600,0.444,0.79
2700,0.405,0.79
2800,0.369,0.79
2900,0.337,0.79
3000,0.304,0.79
3100,0.277,0.79
3200,0.248,0.79
3300,0.224,0.79
3400,0.202,0.79
3500,0.183,0.79
3600,0.162,0.79
3700,0.143,0.79
3800,0.129,0.79
3900,0.116,0.79
4000,0.103,0.95
4100,0.0899,0.95
4200,0.0799,0.95
4300,0.0695,0.95
4400,0.062,0.95
4500,0.055,1.3
4600,0.0486,1.3
4700,0.0436,1.3
4800,0.0385,1.3
4900,0.0349,1.3
5000,0.0317,1.6
5100,0.0276,1.6
5200,0.0243,1.6
5300,0.0219,1.6
5400,0.0193,1.6
5500,0.0173,2.4
5600,0.0149,2.4
5700,0.0127,2.4
5800,0.0108,2.4
5900,0.00952,2.4
6000,0.00828,3.6
6100,0.00736,3.6
6200,0.00644,3.6
6300,0.00549,3.6
6400,0.0000049,3.6
6500,0.00421,4.3
6600,0.00354,4.3
6700,0.00277,4.3
6800,0.00237,4.3
6900,0.00198,4.3
7000,0.00168,8.7
7100,0.00144,8.7
7200,0.001,8.7
7300,0.00081,8.7
7400,0.00065,8.7
7500,0.0005,16
7600,0.0004,16
7700,0.00034,16
7800,0.00029,16
7900,0.00025,16
8000,0.0002,32
