E,Ne,dNe
1500,1.352,0.14
1550,1.322,0.14
1600,1.266,0.14
1650,1.221,0.14
1700,1.168,0.14
1750,1.134,0.14
1800,1.09,0.14
1850,1.053,0.14
1900,1.006,0.14
1950,0.9727,0.14
2000,0.9319,0.14
2050,0.8984,0.14
2100,0.8632,0.15
2150,0.8241,0.15
2200,0.7993,0.15
2250,0.7713,0.15
2300,0.7443,0.15
2350,0.7106,0.15
2400,0.6796,0.15
2450,0.6584,0.15
2500,0.6337,0.16
2550,0.6108,0.16
2600,0.5868,0.16
2650,0.5657,0.16
2700,0.544,0.16
2750,0.5221,0.16
2800,0.5026,0.17
2850,0.4816,0.17
2900,0.4577,0.17
2950,0.4419,0.17
3000,0.4241,0.17
3050,0.4057,0.18
3100,0.3893,0.18
3150,0.3726,0.18
3200,0.3547,0.19
3250,0.3383,0.19
3300,0.3244,0.19
3350,0.3088,0.19
3400,0.2942,0.2
3450,0.2808,0.2
3500,0.2678,0.21
3550,0.256,0.21
3600,0.2431,0.21
3650,0.2314,0.22
3700,0.2205,0.22
3750,0.2114,0.23
3800,0.2015,0.23
3850,0.1906,0.24
3900,0.1809,0.24
3950,0.1721,0.25
4000,0.1632,0.25
4050,0.1547,0.26
4100,0.1467,0.26
4150,0.1388,0.27
4200,0.1321,0.27
4250,0.1252,0.28
4300,0.1191,0.29
4350,0.1135,0.29
4400,0.1077,0.3
4450,0.102,0.31
4500,0.09687,0.31
4550,0.09153,0.32
4600,0.08747,0.33
4650,0.08328,0.33
4700,0.07975,0.34
4750,0.07576,0.35
4800,0.07146,0.36
4850,0.06756,0.37
4900,0.06386,0.38
4950,0.06111,0.38
5000,0.05736,0.28
5050,0.05474,0.28
5100,0.0516,0.29
5150,0.04876,0.3
5200,0.04614,0.31
5250,0.04344,0.32
5300,0.04121,0.33
5350,0.03912,0.34
5400,0.03711,0.35
5450,0.03527,0.36
5500,0.03315,0.37
5550,0.03136,0.38
5600,0.02958,0.39
5650,0.02773,0.4
5700,0.02621,0.42
5750,0.02465,0.43
5800,0.02323,0.44
5850,0.02206,0.45
5900,0.02068,0.47
5950,0.01923,0.48
6000,0.01815,0.49
6050,0.01681,0.51
6100,0.01591,0.52
6150,0.01502,0.53
6200,0.01409,0.55
6250,0.01316,0.56
6300,0.0123,0.58
6350,0.0115,0.6
6400,0.01068,0.62
6450,0.009932,0.64
6500,0.009265,0.46
6550,0.008587,0.48
6600,0.007954,0.5
6650,0.00729,0.53
6700,0.006678,0.56
6750,0.00617,0.58
6800,0.005629,0.61
6850,0.005135,0.64
6900,0.0047,0.68
6950,0.004275,0.72
7000,0.003832,0.77
7050,0.003492,0.81
7100,0.003175,0.86
7150,0.00286,0.91
7200,0.002616,0.95
7250,0.002352,1
7300,0.002088,1.1
7350,0.001911,1.1
7400,0.001682,1.2
7450,0.001473,1.2
7500,0.001303,1.3
7550,0.00117,1.4
7600,0.001018,1.5
7650,0.0008553,1.7
7700,0.0007306,1.9
7750,0.0006111,2.1
7800,0.0005342,2.4
7850,0.0004301,2.8
7900,0.0003442,3.3
7950,0.0002931,3.7
8000,0.0002403,3.9
8050,0.0002032,4.5
8100,0.0001679,5.3
8150,0.0001454,5.9
8200,0.00013,6.5
8250,0.0001259,6.4
8300,0.000114,6.7
8350,0.0001015,7
8400,0.0000841,8.2
8450,0.0000732,9.3
8500,0.0000563,12
8550,0.0000551,12
8600,0.0000414,15
8650,0.0000396,15
8700,0.0000356,17
8750,0.0000311,16
8800,0.0000214,21
8850,0.0000152,29
8900,0.0000143,31
8950,0.0000116,38
9000,0.0000142,31
9050,0.0000103,38
9100,0.0000084,45
9150,0.0000142,27
9200,0.0000139,27
9250,0.0000092,40
9300,0.000006,58
9350,0.0000086,41
9400,0.0000059,58
9450,0.000001,330
9500,0.0000097,33
9550,0.0000047,68
9600,0.0000024,130
