#: table_doi: 10.17182/hepdata.132368.v2/t7
#: name: Spectrum analysis: Covariance of the undolded spectrum
#: description: Covariance matrix of the unfolded U-235 spectrum, given as a 20x20 matrix with 20 antineutrino energy bins (bins 1-19 are 250 keV wide, with centers ranging from 2.5 MeV to 7 MeV and bin 20 is 750 keV wide with center at 7.5 MeV).
#: data_file: Spec_UnfoldedCovariance.yaml
#: keyword phrases: Unfolded covariance
$E_\nu$ [MeV],$E_ u$ [MeV],spectrum covariance [(cm2/fission/MeV)²]
2.5,2.5,6.49835e-89
2.5,2.75,3.31452e-89
2.5,3,1.24985e-89
2.5,3.25,1.78924e-89
2.5,3.5,1.37456e-89
2.5,3.75,9.29067e-90
2.5,4,9.41795e-90
2.5,4.25,8.77955e-90
2.5,4.5,7.85479e-90
2.5,4.75,7.1753e-90
2.5,5,6.67957e-90
2.5,5.25,6.17423e-90
2.5,5.5,5.59282e-90
2.5,5.75,4.93703e-90
2.5,6,4.2494e-90
2.5,6.25,3.62925e-90
2.5,6.5,3.1126e-90
2.5,6.75,2.66381e-90
2.5,7,2.19243e-90
2.5,7.5,1.19274e-90
2.75,2.5,3.31452e-89
2.75,2.75,5.39233e-89
2.75,3,2.4396e-89
2.75,3.25,9.91793e-90
2.75,3.5,1.63536e-89
2.75,3.75,1.27459e-89
2.75,4,1.03299e-89
2.75,4.25,1.03945e-89
2.75,4.5,9.56243e-90
2.75,4.75,8.64571e-90
2.75,5,7.96627e-90
2.75,5.25,7.39383e-90
2.75,5.5,6.69176e-90
2.75,5.75,5.87822e-90
2.75,6,5.07155e-90
2.75,6.25,4.35439e-90
2.75,6.5,3.74993e-90
2.75,6.75,3.20453e-90
2.75,7,2.63142e-90
2.75,7.5,1.42872e-90
3,2.5,1.24985e-89
3,2.75,2.4396e-89
3,3,5.18165e-89
3,3.25,1.38994e-89
3,3.5,4.98026e-90
3,3.75,1.66053e-89
3,4,1.20461e-89
3,4.25,1.00064e-89
3,4.5,1.03555e-89
3,4.75,9.42868e-90
3,5,8.46551e-90
3,5.25,7.79648e-90
3,5.5,7.01192e-90
3,5.75,6.14095e-90
3,6,5.30663e-90
3,6.25,4.54692e-90
3,6.5,3.89522e-90
3,6.75,3.30493e-90
3,7,2.69886e-90
3,7.5,1.46003e-90
3.25,2.5,1.78924e-89
3.25,2.75,9.91793e-90
3.25,3,1.38994e-89
3.25,3.25,4.88086e-89
3.25,3.5,8.36716e-90
3.25,3.75,3.37052e-90
3.25,4,1.73538e-89
3.25,4.25,1.1577e-89
3.25,4.5,9.58135e-90
3.25,4.75,9.99886e-90
3.25,5,9.16279e-90
3.25,5.25,8.07724e-90
3.25,5.5,7.20272e-90
3.25,5.75,6.34138e-90
3.25,6,5.48593e-90
3.25,6.25,4.7122e-90
3.25,6.5,4.03058e-90
3.25,6.75,3.39817e-90
3.25,7,2.75756e-90
3.25,7.5,1.48669e-90
3.5,2.5,1.37456e-89
3.5,2.75,1.63536e-89
3.5,3,4.98026e-90
3.5,3.25,8.36716e-90
3.5,3.5,4.67857e-89
3.5,3.75,6.56512e-90
3.5,4,2.94213e-90
3.5,4.25,1.76112e-89
3.5,4.5,1.11481e-89
3.5,4.75,8.83213e-90
3.5,5,9.31581e-90
3.5,5.25,8.51566e-90
3.5,5.5,7.27613e-90
3.5,5.75,6.29667e-90
3.5,6,5.4718e-90
3.5,6.25,4.70953e-90
3.5,6.5,4.00658e-90
3.5,6.75,3.34341e-90
3.5,7,2.67017e-90
3.5,7.5,1.42279e-90
3.75,2.5,9.29067e-90
3.75,2.75,1.27459e-89
3.75,3,1.66053e-89
3.75,3.25,3.37052e-90
3.75,3.5,6.56512e-90
3.75,3.75,4.5067e-89
3.75,4,6.62789e-90
3.75,4.25,1.30269e-90
3.75,4.5,1.62564e-89
3.75,4.75,1.05113e-89
3.75,5,7.3923e-90
3.75,5.25,7.66802e-90
3.75,5.5,7.07673e-90
3.75,5.75,5.90618e-90
3.75,6,4.93251e-90
3.75,6.25,4.16005e-90
3.75,6.5,3.45187e-90
3.75,6.75,2.786e-90
3.75,7,2.16974e-90
3.75,7.5,1.13907e-90
4,2.5,9.41795e-90
4,2.75,1.03299e-89
4,3,1.20461e-89
4,3.25,1.73538e-89
4,3.5,2.94213e-90
4,3.75,6.62789e-90
4,4,4.09761e-89
4,4.25,6.80712e-90
4,4.5,-3.19644e-91
4,4.75,1.38735e-89
4,5,1.00544e-89
4,5.25,6.20026e-90
4,5.5,6.00121e-90
4,5.75,5.79026e-90
4,6,4.89285e-90
