E,Content
0.05,0
0.15,0
0.25,0
0.35,0
0.45,0
0.55,0
0.65,0
0.75,0
0.85,0
0.95,0
1.05,0
1.15,0
1.25,0
1.35,0
1.45,0
1.55,0
1.65,0
1.75,0
1.85,0.014237E-43
1.95,0.031438E-43
2.05,0.045958E-43
2.15,0.05994E-43
2.25,0.073109E-43
2.35,0.085529E-43
2.45,0.096628E-43
2.55,0.106753E-43
2.65,0.117035E-43
2.75,0.127321E-43
2.85,0.137501E-43
2.95,0.145888E-43
3.05,0.152989E-43
3.15,0.159478E-43
3.25,0.164987E-43
3.35,0.170222E-43
3.45,0.173704E-43
3.55,0.175478E-43
3.65,0.175784E-43
3.75,0.174833E-43
3.85,0.174841E-43
3.95,0.173785E-43
4.05,0.172153E-43
4.15,0.169493E-43
4.25,0.164338E-43
4.35,0.158363E-43
4.45,0.150846E-43
4.55,0.143819E-43
4.65,0.137795E-43
4.75,0.131503E-43
4.85,0.128012E-43
4.95,0.124156E-43
5.05,0.120457E-43
5.15,0.116964E-43
5.25,0.112296E-43
5.35,0.107116E-43
5.45,0.100859E-43
5.55,0.095833E-43
5.65,0.092319E-43
5.75,0.087874E-43
5.85,0.082671E-43
5.95,0.076494E-43
6.05,0.07033E-43
6.15,0.064353E-43
6.25,0.058066E-43
6.35,0.053691E-43
6.45,0.049334E-43
6.55,0.045207E-43
6.65,0.041368E-43
6.75,0.037434E-43
6.85,0.033839E-43
6.95,0.030105E-43
7.05,0.026438E-43
7.15,0.022824E-43
7.25,0.019159E-43
7.35,0.016541E-43
7.45,0.014101E-43
7.55,0.012084E-43
7.65,0.010445E-43
7.75,0.008729E-43
7.85,0.007315E-43
7.95,0.005871E-43
8.05,0.004361E-43
8.15,0.00312E-43
8.25,0.002328E-43
8.35,0.001737E-43
8.45,0.001296E-43
8.55,0.000981E-43
8.65,0
8.75,0
8.85,0
8.95,0
9.05,0
9.15,0
9.25,0
9.35,0
9.45,0
9.55,0
9.65,0
9.75,0
9.85,0
9.95,0
10.05,0
10.15,0
10.25,0
10.35,0
10.45,0
10.55,0
10.65,0
10.75,0
10.85,0
10.95,0
11.05,0
11.15,0
11.25,0
11.35,0
11.45,0
11.55,0
11.65,0
11.75,0
11.85,0
11.95,0
